date,open,high,low,close,volume,ma5,volume_ma5,volatility_range_5d,volatility_range_20d,volume_ratio_5d,ma5_acceleration,close_acceleration,volume_ratio_5d_acceleration,up_days_20d,gap_up_ratio_20d
2014-09-22,5865.166,5865.166,5804.845,5820.683,87634502,,,,,,,,,,
2014-09-23,5819.082,5905.165,5819.082,5905.165,83779800,,,,,,,,,,
2014-09-24,5897.941,5984.145,5885.268,5984.145,99190384,,,,,,,-5.501999999999498,,,
2014-09-25,6000.951,6043.622,5970.594,5989.877,105241453,,,,,,,-73.2480000000005,,,
2014-09-26,5983.134,6015.45,5963.249,6015.45,89931943,5943.064,93155616.4,0.0124667362181266,,0.9653947499401656,,19.84099999999944,,,
2014-09-29,6033.637,6081.611,6033.637,6080.097,96461886,5994.9468,94921093.2,0.0119721597819446,,1.016232354138121,,39.07400000000053,,,
2014-09-30,6090.732,6127.134,6075.662,6127.134,87239052,6039.3406,95612943.6,0.0107367772920679,,0.9124188495332552,-7.4889999999986685,-17.609999999999673,-0.1546511088028214,,
2014-10-08,6146.768,6214.97,6117.74,6214.97,95468883,6085.5056,94868643.4,0.010561041641724,,1.0063270600114853,1.7711999999992258,40.79899999999998,0.1977217150830961,,
2014-10-09,6227.4,6246.086,6146.356,6238.262,118732869,6135.182599999999,97566926.6,0.0113200259276374,,1.216937676911512,3.5119999999988067,-64.54400000000078,0.1167024064217966,,
2014-10-10,6221.252,6247.032,6179.098,6216.978,107165548,6175.4882,101013647.6,0.0117698964606749,,1.0609016756266507,-9.371399999998175,-44.57599999999911,-0.3666466181848882,,
2014-10-13,6195.371,6216.669,6115.989,6216.669,98766283,6202.8026,101474527.0,0.0134308631686323,,0.9733110951086276,-12.99120000000039,20.97499999999945,0.0684454207668382,,
2014-10-14,6209.94,6262.341,6165.053,6203.997,94780843,6218.1752,102982885.2,0.0148870308517538,,0.920355288317364,-11.941800000000512,-12.362999999999374,0.0346347737267596,,
2014-10-15,6200.051,6222.795,6140.251,6222.795,89678626,6219.7402,101824833.8,0.0144110897966843,,0.8807146808227837,-13.807599999999184,31.469999999999345,0.0133151992966832,,
2014-10-16,6190.178,6253.087,6134.74,6134.74,100008396,6199.0358,98079939.2,0.0150719813112247,,1.0196620921233197,-22.26940000000104,-106.85300000000008,0.1785880187951163,,
2014-10-17,6118.979,6140.119,5943.592,6058.668,97125862,6167.3738,96072002.0,0.0193740120845487,,1.010969480994057,-10.95759999999882,11.983000000000176,-0.1476400224297986,,
2014-10-20,6068.776,6154.685,6068.517,6154.52,79024982,6154.944,92123741.8,0.0189351318309295,,0.8578134198192111,19.232199999999462,171.9240000000009,-0.1444634500455832,,
2014-10-21,6153.02,6176.069,6097.366,6103.008,79548408,6134.7462,89077254.8,0.0183779855629273,,0.8930271614073136,-7.768000000000939,-147.3640000000014,0.1883698027629484,,
2014-10-22,6102.464,6131.886,6024.404,6027.51,73558799,6095.6892,85853289.4,0.019291411251256,,0.8567965131455988,-18.859199999998964,-23.985999999998967,-0.0714443898498173,,
2014-10-23,6009.84,6032.613,5899.89,5930.483,74296958,6054.8378,80711001.8,0.0199091140390242,,0.9205307373597734,-1.7943999999997686,-21.52900000000045,0.0999648724758894,,
2014-10-24,5930.571,5980.336,5917.556,5941.926,59431259,6031.4894,73172081.2,0.0155347680280857,0.014786353197859,0.8122122266490898,17.5029999999997,108.47000000000024,-0.1720527349248582,0.55,0.4
2014-10-27,5927.149,6007.159,5899.772,6006.838,61642426,6001.953,69695570.0,0.0163101064427289,0.0151620653060588,0.884452569940959,-6.188000000000102,53.46899999999914,0.1805588540025529,0.55,0.4
2014-10-28,6021.653,6163.672,6021.638,6163.672,84583163,6014.0858,70702521.0,0.0183396982472322,0.0155853729884953,1.1963245695298474,41.66919999999936,91.92200000000048,0.2396316562970192,0.55,0.4
2014-10-29,6179.458,6269.957,6179.16,6246.699,111427173,6057.9236,78276195.8,0.0176803561548784,0.0154859747111357,1.4235128810386055,31.70500000000084,-73.80699999999979,-0.0846836880801301,0.55,0.4
2014-10-30,6248.47,6284.7,6222.814,6241.588,103958948,6120.1446,84208593.8,0.0151874179330928,0.0153721348027448,1.2345408385147505,18.383199999999302,-88.13799999999992,-0.4161603540326137,0.5,0.45
2014-10-31,6242.84,6261.706,6158.802,6208.61,92561304,6173.4814,90834602.8,0.0163891788466813,0.0157669638549977,1.0190092888257778,-8.88419999999951,-27.86700000000019,-0.026559507165117,0.45,0.4
2014-11-03,6217.097,6276.232,6216.876,6275.993,91731125,6227.3124,96852342.6,0.0147052124217905,0.0158453284660203,0.9471234514052942,0.4942000000000917,100.3610000000008,0.1436457122684888,0.45,0.35
2014-11-04,6274.997,6280.834,6207.398,6231.816,89067834,6240.941199999999,97749276.8,0.0124532752012324,0.0160144974657864,0.911186628850844,-40.20220000000063,-111.56000000000132,0.0359490148660333,0.4,0.35
2014-11-05,6222.944,6241.068,6188.344,6227.245,78088754,6237.0504,91081593.0,0.0112395689064159,0.0156556065273087,0.8573494536925809,-17.519599999998718,39.60600000000068,-0.0179003526038127,0.35,0.3
2014-11-06,6223.078,6289.828,6201.274,6289.192,76807817,6246.5712,85651366.8,0.0120726171372389,0.0155602826051451,0.896749460862077,13.411599999999453,66.51800000000003,0.0932371823277591,0.4,0.35
2014-11-07,6297.351,6319.085,6204.807,6228.167,91712220,6250.4826,85481550.0,0.0124274520160657,0.0159313527438454,1.0728890620256653,-5.609400000000278,-122.97199999999977,0.1367395939940922,0.4,0.4
2014-11-10,6236.195,6247.719,6196.991,6246.612,77106878,6244.6064,82556700.6,0.0121601030766699,0.0155276384430297,0.9339869137163652,-9.787600000000566,79.46999999999935,-0.3150417494728882,0.45,0.35
2014-11-11,6252.391,6253.217,5973.742,6023.004,101830341,6202.844,85109202.0,0.019083546926239,0.0170636264844077,1.1964668755794468,-35.88619999999901,-242.05299999999988,0.4013821101723813,0.4,0.4
2014-11-12,6005.863,6120.249,5992.895,6120.058,66379154,6181.4066,82767282.0,0.0215520698215461,0.0174408515335241,0.8019975091123568,20.324999999999815,320.66200000000026,-0.6569493283301714,0.45,0.4
2014-11-13,6116.978,6117.105,5986.999,6023.782,83136020,6128.3246,84032922.6,0.0230557452419487,0.0175562235878261,0.9893267713147468,-31.644600000000537,-193.32999999999996,0.5817986286694798,0.45,0.45
2014-11-14,6002.051,6024.372,5965.807,6009.446,61066376,6084.5804,77903753.8,0.021335128035235,0.0164216317315169,0.783869493076982,9.337800000000245,81.9399999999996,-0.3927865404401546,0.4,0.45
2014-11-17,6016.541,6118.006,5992.797,6100.833,64869968,6055.4246,75456371.8,0.0238156041958361,0.0167477565342563,0.8597016587537543,14.588400000000547,105.72299999999996,0.281289443914537,0.45,0.45
